,UNRATE,CORE_PCE,UNRATE_3MMA,UNRATE_12M_MIN,SAHM_INDICATOR,FLAG_SAHM_RECESSION,CORE_PCE_YOY,FLAG_INFLATION_ABOVE_2PCT
2023-07-06,3.6,119.39,3.533333333333333,3.5,0.033333333333333215,0,4.383786808421353,1
2023-08-05,3.5,119.556,3.5666666666666664,3.5,0.06666666666666643,0,4.299124123250864,1
2023-09-05,3.7,119.689,3.6,3.5,0.10000000000000009,0,3.8282036156702226,1
2023-10-06,3.7,120.058,3.6333333333333333,3.5,0.1333333333333333,0,3.687774208035388,1
2023-11-05,3.9,120.241,3.766666666666667,3.5,0.26666666666666705,0,3.4740628549791763,1
2023-12-06,3.7,120.374,3.766666666666667,3.5,0.26666666666666705,0,3.2907438711504255,1
2024-01-05,3.8,120.592,3.8000000000000003,3.5,0.30000000000000027,0,3.1123879882344996,1
2024-02-05,3.7,121.217,3.733333333333333,3.5,0.23333333333333295,0,3.159014510020852,1
2024-03-07,3.9,121.537,3.8000000000000003,3.5,0.30000000000000027,0,3.059467984974007,1
2024-04-05,3.9,122.009,3.8333333333333335,3.5,0.3333333333333335,0,3.122173857921662,1
2024-05-06,3.9,122.304,3.9,3.5,0.3999999999999999,0,3.006720905553606,1
2024-06-05,3.9,122.383,3.9,3.533333333333333,0.3666666666666667,0,2.7711764063720334,1
2024-07-06,4.1,122.677,3.9666666666666663,3.5666666666666664,0.3999999999999999,0,2.7531619063573265,1
2024-08-05,4.2,122.911,4.066666666666666,3.6,0.46666666666666634,0,2.8062163337682744,1
2024-09-05,4.2,123.128,4.166666666666667,3.6333333333333333,0.5333333333333337,1,2.873279917118543,1
2024-10-06,4.1,123.466,4.166666666666667,3.733333333333333,0.433333333333334,0,2.838627996468368,1
2024-11-05,4.1,123.832,4.133333333333333,3.733333333333333,0.3999999999999999,0,2.9865021082658982,1
2024-12-06,4.2,123.962,4.133333333333334,3.733333333333333,0.4000000000000008,0,2.980710120125618,1
2025-01-05,4.1,124.196,4.133333333333334,3.733333333333333,0.4000000000000008,0,2.9885896245190446,1
2025-02-05,4.0,124.587,4.1000000000000005,3.8000000000000003,0.30000000000000027,0,2.7801380994415092,1
2025-03-08,4.2,125.145,4.1000000000000005,3.8333333333333335,0.26666666666666705,0,2.9686432938117457,1
2025-04-05,4.2,125.267,4.133333333333334,3.9,0.23333333333333384,0,2.670294814316976,1
2025-05-06,4.2,125.502,4.2,3.9,0.30000000000000027,0,2.614795918367352,1
2025-06-05,4.3,125.79,4.233333333333333,3.9666666666666663,0.26666666666666705,0,2.783883382495933,1
2025-07-06,4.1,126.121,4.2,4.066666666666666,0.13333333333333375,0,2.8073722050588,1
2025-08-05,4.3,126.43,4.233333333333333,4.1000000000000005,0.13333333333333286,0,2.86304724556794,1
2025-09-05,4.3,126.714,4.233333333333333,4.1000000000000005,0.13333333333333286,0,2.912416347215907,1
2025-10-06,4.4,126.954,4.333333333333333,4.1000000000000005,0.2333333333333325,0,2.825069249833967,1
2025-12-06,4.5,127.469,4.3999999999999995,4.1000000000000005,0.29999999999999893,0,2.937043736675493,1
2026-01-05,4.4,127.886,4.433333333333334,4.1000000000000005,0.33333333333333304,0,3.1654861973830606,1
2026-02-05,4.3,128.455,4.3999999999999995,4.1000000000000005,0.29999999999999893,0,3.429256980901174,1
2026-03-08,4.4,128.961,4.366666666666667,4.1000000000000005,0.2666666666666666,0,3.5107996821498233,1
2026-04-05,4.3,129.343,4.333333333333333,4.133333333333334,0.1999999999999993,0,3.3545087698269915,1
2026-05-06,4.3,129.681,4.333333333333333,4.2,0.13333333333333286,0,3.5236734335459596,1
2026-06-05,4.3,130.147,4.3,4.2,0.09999999999999964,0,3.701136236872715,1
2026-07-06,4.2,130.338,4.266666666666667,4.2,0.06666666666666643,0,3.615549725733347,1
2026-08-05,4.1,130.658,4.199999999999999,4.199999999999999,0.0,0,3.5973390632805025,1
